n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_dstart_ms,mean_dend_ms,recall_q1,f1_q1,recall_q2,f1_q2,recall_q3,f1_q3,pearson_calls,spearman_calls,model,variant
181,2065,60,2005,121,0.029055690072639227,0.3314917127071823,0.053428317008014245,230.19999999999558,268.0499999999986,0.391304347826087,0.21686746987951808,0.3482142857142857,0.45348837209302323,0.2608695652173913,0.22641509433962265,-0.4424520395593109,-0.3163646315354801,v3_tape_proportional,len500_hop050_th70
181,5137,47,5090,134,0.009149308935176173,0.2596685082872928,0.01767581797668296,244.27659574466577,298.68085106382216,0.21739130434782608,0.14285714285714285,0.26785714285714285,0.37735849056603776,0.2608695652173913,0.25806451612903225,-0.18682401981857283,-0.018609684207969417,v3_tape_proportional,len500_hop050_th40
181,884,88,796,93,0.09954751131221719,0.4861878453038674,0.1652582159624413,181.8750000000039,223.22727272726107,0.6956521739130435,0.28828828828828823,0.5178571428571429,0.5800000000000001,0.30434782608695654,0.20895522388059704,-0.2146238860129882,-0.30240736837950305,v3_tape_proportional,len500_hop050_th90
181,6264,41,6223,140,0.006545338441890166,0.2265193370165746,0.012723041117145074,254.92682926828522,341.53658536584436,0.21739130434782608,0.15625,0.23214285714285715,0.3398692810457517,0.21739130434782608,0.22988505747126436,-0.1292863138067016,0.06048147367590061,v3_tape_proportional,len500_hop050_th30
181,1412,66,1346,115,0.046742209631728045,0.36464088397790057,0.08286252354048965,213.6060606060587,247.15151515151422,0.43478260869565216,0.2247191011235955,0.375,0.47191011235955066,0.30434782608695654,0.25,-0.35181797940707127,-0.3908033683673578,v3_tape_proportional,len500_hop050_th80
181,7555,31,7524,150,0.004103242885506287,0.1712707182320442,0.008014477766287487,269.9677419354825,332.3870967741691,0.17391304347826086,0.14814814814814814,0.16071428571428573,0.2517482517482518,0.1956521739130435,0.23376623376623376,-0.11064994327976865,0.06048147367590061,v3_tape_proportional,len500_hop050_th20
181,8809,27,8782,154,0.0030650471109092974,0.14917127071823205,0.006006674082313682,284.29629629629824,376.5925925925694,0.13043478260869565,0.12,0.13392857142857142,0.2158273381294964,0.1956521739130435,0.2465753424657534,-0.14067143629573883,0.004652421051992354,v3_tape_proportional,len500_hop050_th10
181,4016,50,3966,131,0.01245019920318725,0.27624309392265195,0.02382654276864427,239.05999999998684,280.49999999999585,0.21739130434782608,0.136986301369863,0.29464285714285715,0.40740740740740744,0.2608695652173913,0.24999999999999994,-0.2670247371694291,-0.04187178946793119,v3_tape_proportional,len500_hop050_th50
181,3005,53,2952,128,0.017637271214642262,0.292817679558011,0.03327055869428751,236.22641509433083,272.92452830188176,0.30434782608695654,0.1842105263157895,0.30357142857142855,0.4121212121212121,0.2608695652173913,0.2424242424242424,-0.35430004258621944,-0.23006976934276283,v3_tape_proportional,len500_hop050_th60
181,8083,28,8055,153,0.0034640603736236547,0.15469613259668508,0.006776379477250727,273.25000000000443,346.9642857142768,0.08695652173913043,0.0784313725490196,0.16071428571428573,0.2571428571428572,0.17391304347826086,0.2162162162162162,-0.20795189751624465,0.07443873683187767,v2_quality,len500_hop050_th70
181,11364,19,11345,162,0.0016719464977120733,0.10497237569060773,0.0032914681680381117,307.68421052632124,381.21052631578624,0.043478260869565216,0.04761904761904762,0.09821428571428571,0.16793893129770993,0.15217391304347827,0.21538461538461537,-0.3979887378157503,-0.009304842103984709,v2_quality,len500_hop050_th40
181,2938,48,2890,133,0.016337644656228726,0.26519337016574585,0.03077909586405899,217.02083333334417,334.1458333333172,0.34782608695652173,0.22535211267605634,0.25892857142857145,0.3625,0.2391304347826087,0.23404255319148934,-0.33939964565077313,-0.15854305127788432,v2_quality,len500_hop050_th90
181,12191,15,12176,166,0.001230415880567632,0.08287292817679558,0.0024248302618816685,350.3333333333283,386.7333333333382,0.043478260869565216,0.052631578947368425,0.07142857142857142,0.12598425196850394,0.13043478260869565,0.19672131147540983,-0.49017360439496466,-0.2587982160565464,v2_quality,len500_hop050_th30
181,5917,31,5886,150,0.005239141456819334,0.1712707182320442,0.010167267956707117,259.483870967751,347.29032258063717,0.13043478260869565,0.1111111111111111,0.17857142857142858,0.27972027972027974,0.17391304347826086,0.2077922077922078,-0.23650357989774184,0.037219368415938835,v2_quality,len500_hop050_th80
181,12962,11,12951,170,0.0008486344699891992,0.06077348066298342,0.0016738948489690327,362.6363636363472,495.18181818181586,0.0,,0.044642857142857144,0.08130081300813008,0.13043478260869565,0.21052631578947367,-0.583837887390272,-0.4652421051992354,v2_quality,len500_hop050_th20
181,13852,9,13843,172,0.0006497256713831938,0.049723756906077346,0.001282690800256538,400.4444444444317,573.4444444444478,0.0,,0.044642857142857144,0.08264462809917357,0.08695652173913043,0.14545454545454548,-0.5596925099230124,-0.36288884205540367,v2_quality,len500_hop050_th10
181,10526,20,10506,161,0.0019000570017100513,0.11049723756906077,0.003735873727468012,294.2500000000081,370.750000000001,0.043478260869565216,0.046511627906976744,0.10714285714285714,0.18181818181818182,0.15217391304347827,0.21212121212121213,-0.2961966290167388,0.037219368415938835,v2_quality,len500_hop050_th50
181,9430,25,9405,156,0.002651113467656416,0.13812154696132597,0.005202372281760482,269.92000000000667,359.9999999999871,0.043478260869565216,0.041666666666666664,0.15178571428571427,0.2481751824817518,0.15217391304347827,0.1971830985915493,-0.23769156091112473,0.037219368415938835,v2_quality,len500_hop050_th60
