n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_dstart_ms,mean_dend_ms,recall_q1,f1_q1,recall_q2,f1_q2,recall_q3,f1_q3,tape,model,variant
37,438,8,430,29,0.0182648401826484,0.21621621621621623,0.03368421052631579,336.500000000008,355.87499999999926,0.14285714285714285,0.18181818181818182,0.25,0.35714285714285715,0.3333333333333333,0.18181818181818182,TINA_20250203_v2.wav,v1_random,len500_hop050_th70
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th70
0,1042,0,1042,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th70
16,831,1,830,15,0.0012033694344163659,0.0625,0.002361275088547816,1223.0000000000132,168.00000000000637,0.0,,0.0,,1.0,1.0,UNKN_20250205.wav,v1_random,len500_hop050_th70
1,729,0,729,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th70
3,1079,0,1079,3,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th70
57,969,11,958,46,0.011351909184726523,0.19298245614035087,0.021442495126705652,289.27272727268485,480.0909090908941,0.0,,0.17073170731707318,0.2692307692307692,0.2857142857142857,0.32,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th70
0,386,0,386,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th70
5,689,0,689,5,0.0,0.0,0.0,,,,,0.0,,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th70
1,1101,0,1101,1,0.0,0.0,0.0,,,0.0,,,,,,388_20250204.wav,v1_random,len500_hop050_th40
0,1045,0,1045,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v1_random,len500_hop050_th40
7,655,0,655,7,0.0,0.0,0.0,,,0.0,,0.0,,,,4212_20250205.wav,v1_random,len500_hop050_th40
